category,priority,avg_resolution_time,total_tickets
Жалобы и предложения,высокий,92.34,294
Жалобы и предложения,критический,85.66,75
Жалобы и предложения,низкий,89.29,218
Жалобы и предложения,средний,92.83,437
Оплата и подписка,высокий,106.46,266
Оплата и подписка,критический,113.25,66
Оплата и подписка,низкий,97.21,229
Оплата и подписка,средний,91.95,450
Проблемы со входом,высокий,88.31,262
Проблемы со входом,критический,100.6,85
Проблемы со входом,низкий,95.88,227
Проблемы со входом,средний,101.17,431
Технический сбой,высокий,88.38,276
Технический сбой,критический,112.81,78
Технический сбой,низкий,84.78,204
Технический сбой,средний,93.89,409
Функциональные вопросы,высокий,97.49,282
Функциональные вопросы,критический,90.1,90
Функциональные вопросы,низкий,89.87,196
Функциональные вопросы,средний,91.69,425
